Year, San Marcial Combined Gauges, Watershed Input to Caballo, EB Storage, Caballo Storage, EB Surface Area, Caballo Storage Average, Caballo Surface Area, EB Pan Evap, Reservoir Evaporation, Reservoir Precipitation, Actual Caballo Gauge, Excess,Desired Caballo Gauge, Delta Storage, Full Allocation
2020,869000,102000,531867.49042352336,57420,14535.081496627015,43432.115784943235,3379.1836149115456,156,183537.020347246,16719.980770769322,687315.46999999997,0,687315.46999999997,0,790000
2021,2020000,115000,1529808.8606638284,57420,29324.388608208548,43432.115784943235,3379.1836149115456,138,296397.38059397088,34338.750834276099,875000,0,875000,0,790000
2022,1140000,127000,1644129.1202212567,57420,31174.572169467989,43432.115784943235,3379.1836149115456,140,317704.50755947764,40024.767116906303,875000,0,875000,0,790000
2023,1750000,68800,1990000,57420,35990.283932210717,43432.115784943235,3379.1836149115456,136,351640.21023738669,24605.917216951417,875000,270894.8272008216,875000,0,790000
2024,1500000,81900,1990000,57420,35990.283932210717,43432.115784943235,3379.1836149115456,140,361982.56936201564,29527.100660341697,875000,374444.53129832633,875000,0,790000
2025,929000,179000,1939738.6339614205,57420,35431.89533846399,43432.115784943235,3379.1836149115456,136,346652.79499575967,63391.428957180055,875000,0,875000,0,790000
2026,806000,96800,1661973.2054655179,57420,31459.398379800405,43432.115784943235,3379.1836149115456,147,336339.50925789803,30774.080761995556,875000,0,875000,0,790000
2027,565000,134000,1255994.3073641779,57420,24981.119592933879,43432.115784943235,3379.1836149115456,142,264483.93367088528,34505.03556954526,875000,0,875000,0,790000
2028,962000,92600,1206710.8591512006,57420,24239.867331942245,43432.115784943235,3379.1836149115456,139,252129.48275991256,23246.034546935272,875000,0,875000,0,790000
2029,1260000,108000,1442761.647315877,57420,27913.472138674813,43432.115784943235,3379.1836149115456,140,287720.32332634978,30771.111491026586,875000,0,875000,0,790000
2030,881000,137000,1343598.3539374578,57420,26334.620413798879,43432.115784943235,3379.1836149115456,143,279057.93338073464,36894.640002315442,875000,0,875000,0,790000
2031,554000,158000,988951.18365172157,57420,21132.80282995414,43432.115784943235,3379.1836149115456,141,226985.2840770841,35338.113791348027,875000,0,875000,0,790000
2032,725000,89700,739767.43434350844,57420,17715.876560023335,43432.115784943235,3379.1836149115456,149,206427.29347133837,17227.632476196821,874684.08831307152,0,874684.08831307152,0,790000
2033,1090000,108000,868927.0691999183,57420,19495.89487860462,43432.115784943235,3379.1836149115456,144,216334.19232888106,22493.827185290898,875000,0,875000,0,790000
2034,1390000,107000,1265937.892285686,57420,25132.489551364786,43432.115784943235,3379.1836149115456,135,252788.05825135173,27798.881337119423,875000,0,875000,0,790000
2035,763000,87600,1029426.4346984117,57420,21692.574071811723,43432.115784943235,3379.1836149115456,141,232168.86373665265,20057.406149378614,875000,0,875000,0,790000
2036,1010000,112000,1058082.3085848051,57420,22092.946327003992,43432.115784943235,3379.1836149115456,146,244240.79155455422,25896.665440947461,875000,0,875000,0,790000
2037,1030000,77200,1063229.2390078511,57420,22165.260594431275,43432.115784943235,3379.1836149115456,146,244934.18052349408,17881.110946539975,875000,0,875000,0,790000
2038,1040000,98400,1098622.4856829387,57420,22666.154873065683,43432.115784943235,3379.1836149115456,147,251447.55796409195,23440.804639179507,875000,0,875000,0,790000
2039,594000,138000,795222.99145956826,57420,18488.256294791128,43432.115784943235,3379.1836149115456,147,211113.18506224928,27516.528553042528,851802.83771416382,0,851802.83771416382,0,790000
2040,1200000,129000,1038833.3055804602,57420,21823.599833463984,43432.115784943235,3379.1836149115456,145,240002.95643094913,29613.270551841248,875000,0,875000,0,790000
2041,1530000,118000,1525441.8311627721,57420,29253.3729346043,43432.115784943235,3379.1836149115456,150,321471.47270841798,35079.998290729534,875000,0,875000,0,790000
2042,1170000,113000,1628431.9509119946,57420,30922.711672191937,43432.115784943235,3379.1836149115456,151,340169.32292005874,35159.442669281074,875000,0,875000,0,790000
2043,1720000,102000,1990000,57420,35990.283932210717,43432.115784943235,3379.1836149115456,156,403352.00586053176,36416.757481088091,875000,218496.70253255079,875000,0,790000
2044,684000,137000,1635468.1948889014,57420,31035.744941428922,43432.115784943235,3379.1836149115456,152,343550.46580652439,43018.660695425584,875000,0,875000,0,790000
2045,396000,114000,1060619.840836195,57420,22128.582616079057,43432.115784943235,3379.1836149115456,141,236206.37915806338,26358.025105356955,875000,0,875000,0,790000
2046,441000,75800,642213.94152657059,57420,16297.024876218342,43432.115784943235,3379.1836149115456,156,201588.65885417306,13609.377539698175,747226.61799514969,0,747226.61799514969,0,790000
2047,855000,61400,582495.78531592293,57420,15369.766451627198,43432.115784943235,3379.1836149115456,163,200707.97918604891,10468.163787150797,785878.34081174945,0,785878.34081174945,0,790000
2048,584000,111000,517112.47569025762,57420,14281.882983537242,43432.115784943235,3379.1836149115456,150,173983.58232796862,17808.242153435858,604207.96945113258,0,604207.96945113258,0,790000
2049,637000,129000,523043.27636699972,57420,14384.237588703932,43432.115784943235,3379.1836149115456,152,177325.12850721186,20872.019914248187,603616.09073029447,0,603616.09073029447,0,790000
2050,608000,130000,511873.87696524872,57420,14190.808675604565,43432.115784943235,3379.1836149115456,156,180009.84201402473,20791.157543777397,589950.71493150387,0,589950.71493150387,0,790000
2051,624000,83400,477920.24526520621,57420,13584.528441462269,43432.115784943235,3379.1836149115456,144,160429.21765953844,12864.148309416809,593788.56234992098,0,593788.56234992098,0,790000
2052,931000,137000,622240.02089027199,57420,15992.900818300966,43432.115784943235,3379.1836149115456,154,195928.29335328972,24215.105541515641,751967.03656316013,0,751967.03656316013,0,790000
2053,1130000,118000,798762.53836452239,57420,18537.019505103144,43432.115784943235,3379.1836149115456,153,220220.0359057656,23742.55338001591,875000,0,875000,0,790000
2054,1020000,107000,827782.11394913564,57420,18935.092462473418,43432.115784943235,3379.1836149115456,167,244736.84359083697,21756.419175450337,875000,0,875000,0,790000
2055,1990000,167000,1791087.0616771621,57420,33444.486072911306,43432.115784943235,3379.1836149115456,155,374851.14854590374,56156.096273929856,875000,0,875000,0,790000
2056,632000,110000,1383522.9043281227,57420,26965.181178271621,43432.115784943235,3379.1836149115456,153,304908.52214222256,30344.364793183166,875000,0,875000,0,790000
2057,960000,146000,1340418.1598406555,57420,26284.73514214747,43432.115784943235,3379.1836149115456,161,313656.63616354595,39551.891676078681,875000,0,875000,0,790000
2058,1240000,121000,1505719.6767032379,57420,28932.789080897448,43432.115784943235,3379.1836149115456,168,356510.91954193893,35812.436404521635,875000,0,875000,0,790000
2059,1950000,131000,1990000,57420,35990.283932210717,43432.115784943235,3379.1836149115456,154,398180.82629821729,46915.282160320698,875000,370454.13256534142,875000,0,790000
2060,867000,92600,1742304.6926926267,57420,32713.945936854972,43432.115784943235,3379.1836149115456,153,362673.69134677673,30378.384039403489,875000,0,875000,0,790000
2061,824000,89900,1469573.240179535,57420,28346.511079487129,43432.115784943235,3379.1836149115456,162,337540.76984685054,25909.317333758918,875000,0,875000,0,790000
2062,1080000,157000,1543579.5528086736,57420,29548.335652304919,43432.115784943235,3379.1836149115456,155,335189.79832053836,47196.110949676928,875000,0,875000,0,790000
2063,1040000,178000,1597420.2874304,57420,30422.329061362794,43432.115784943235,3379.1836149115456,155,344086.72347721917,54927.458098945797,875000,0,875000,0,790000
